Latitude Longitude
41.967093962 -87.713322493
41.971145178 -87.70488421
41.716022627 -87.629733192
41.79006908 -87.654768679
41.880427066 -87.750783005
41.797832643 -87.61768285
41.937969055 -87.661983552
41.892509386 -87.626069718
41.890824988 -87.630183362
41.759381999 -87.645474583
41.750352778 -87.619749632
41.706864779 -87.648349198
41.874947338 -87.72547164
41.773018321 -87.664043708
41.895513492 -87.710761053
41.904144311 -87.675838021
41.746281825 -87.694142805
41.78275219 -87.777788387
41.750018724 -87.622970906
41.765025476 -87.576275351
41.880125613 -87.772362998
41.872587691 -87.721414778
41.753600701 -87.562204619
41.780238695 -87.683668132
41.947411079 -87.834081037
41.74634568 -87.653627921
41.692335848 -87.644142651
41.780312889 -87.686116533
41.799639692 -87.742948
41.731430954 -87.552669707
41.781294083 -87.644829807
41.726610407 -87.632460427
41.910699488 -87.662886582
41.948312144 -87.645777826
41.880962202 -87.706987819
41.780463647 -87.693433155
41.902986978 -87.69001821
41.851761264 -87.705602716
41.886302173 -87.725826743
41.964759616 -87.654782347
41.684114564 -87.625303429
41.975585313 -87.668351682
41.908782633 -87.721623963
41.918334244 -87.726595918
41.817593409 -87.598008766
41.877585867 -87.683123746
41.854844775 -87.681764745
41.7875047 -87.699725045
41.779219485 -87.68639517
41.950038498 -87.659239536
41.829389915 -87.606892634
41.862842099 -87.702010464
41.88033698 -87.629365643
41.782618691 -87.702504711
41.904990188 -87.719070334
41.750775808 -87.63455036
41.877583601 -87.683208224
41.883475491 -87.627876969
41.760201543 -87.564782892
41.934422689 -87.736888404
41.751928332 -87.644077264
41.933355462 -87.790603333
41.912635411 -87.690946367
41.860229103 -87.71402184
41.883500187 -87.627876698
41.870061375 -87.704355292
41.75193595 -87.550992039
41.881623795 -87.626200793
41.886338639 -87.712124479
41.781537835 -87.730171451
41.841622651 -87.617191438
41.735362809 -87.604791301
41.873991303 -87.751226984
41.983685115 -87.713775782
41.961799968 -87.653155524
41.769934371 -87.662741415
41.747058366 -87.605117148
41.871025414 -87.699510379
41.946749547 -87.77055522
41.909707759 -87.739458739
41.878890725 -87.723899363
41.881942452 -87.734354498
41.927998524 -87.673208159
41.714597113 -87.571856932
41.893361663 -87.648512433
41.893004965 -87.628117361
41.853202065 -87.729674813
41.922786529 -87.645045119
41.800439665 -87.693986299
41.881487914 -87.627755618
41.927929456 -87.805172302
41.815700418 -87.616768627
41.736422223 -87.588119633
41.714873035 -87.620427909
41.895896023 -87.677913394
41.939773087 -87.721088955
41.905778334 -87.726398891
41.876360139 -87.705989943
41.77295831 -87.572813053
41.994590446 -87.65734596
41.997189686 -87.796090877
41.903201751 -87.627542313
41.931332379 -87.761642824
41.881088655 -87.720764494
41.937588069 -87.80673184
41.826196356 -87.671503241
41.753326207 -87.646539749
41.951513634 -87.64836454
41.673932819 -87.61905335
41.937458134 -87.722338676
41.725836911 -87.595696756
41.843409877 -87.634233283
41.964597367 -87.763764964
41.949613504 -87.672518331
41.758273773 -87.554811094
41.729961742 -87.656815744
41.891412551 -87.647934597
41.763506117 -87.636274287
41.909117907 -87.713016823
41.868180939 -87.709271389
41.897887668 -87.628232605
41.87766908 -87.629284766
41.756442093 -87.667235947
41.757059111 -87.642985153
41.880861696 -87.621887098
41.882470918 -87.627847625
41.989139311 -87.692057391
41.968359544 -87.717494829
41.747646188 -87.603472462
41.877161446 -87.676536946
42.005437753 -87.666650121
41.882123956 -87.706153898
41.865089368 -87.733707829
41.761490864 -87.587188215
41.966430564 -87.651032417
41.761594477 -87.642368417
41.88922516 -87.630193562
41.766179565 -87.662637559
41.929028876 -87.674384528
41.863370754 -87.659809248
41.80533715 -87.589008745
41.962398697 -87.646324994
41.812634337 -87.63944679
41.677396914 -87.626273896
41.876645737 -87.635171022
41.918770884 -87.639433518
41.894948428 -87.623750896
41.786812277 -87.732773087
41.683836017 -87.645412176
41.896724578 -87.669754439
41.831203853 -87.612552184
41.767541748 -87.688213376
41.664667406 -87.555149265
41.746765368 -87.602624951
41.815076208 -87.685887715
41.769295727 -87.581309548
41.942682941 -87.651160689
41.907758382 -87.673908994
41.807526491 -87.61873404
41.895817979 -87.619263899
41.943713364 -87.719981618
41.884455018 -87.725774467
41.872430407 -87.715615062
41.903769788 -87.63969883
41.886869524 -87.670620311
41.658871865 -87.559288387
41.881858277 -87.724091496
41.914484227 -87.724031146
41.675165651 -87.640676424
41.790707994 -87.604942346
41.707160552 -87.623823775
41.874343989 -87.726582558
41.728744634 -87.599788539
41.846801978 -87.623527134
41.692363894 -87.64150249
41.782175255 -87.609163728
41.777608036 -87.738600304
41.719506128 -87.620537873
41.776429106 -87.686008936
41.792793752 -87.699870982
41.796157777 -87.64356322
41.926448712 -87.768510447
41.870826611 -87.718468623
41.919031238 -87.677665683
42.015883134 -87.691380315
41.962903733 -87.777104951
41.784010678 -87.699627448
41.881889541 -87.738959929
41.895422269 -87.735951185
41.761135248 -87.630900966
41.967437975 -87.708443315
41.760275482 -87.566402046
41.716019353 -87.642765227
41.741787608 -87.690871277
41.974603823 -87.660973766
41.765552461 -87.576287484
41.77721972 -87.649577139
41.773109884 -87.586294711
41.80235749 -87.597625511
41.774255638 -87.740944554
41.800775583 -87.707142166
42.022062685 -87.67484904
41.954779893 -87.705600145
41.691779463 -87.682874779
41.756640447 -87.663590843
41.936952143 -87.648248411
41.757770586 -87.606608702
41.692605563 -87.621310927
41.913178041 -87.754273173
41.877469064 -87.648395724
41.909270561 -87.64722927
41.925183913 -87.725571931
41.871862148 -87.762235479
41.969336143 -87.762012845
41.907794034 -87.673427375
41.851921243 -87.693811567
41.879690601 -87.731430526
41.889934493 -87.637619229
41.793386662 -87.634131727
41.85102174 -87.618954852
41.668869967 -87.627567708
41.895619619 -87.756844961
41.814719164 -87.70913768
41.88893074 -87.756614969
41.866013281 -87.686023855
41.917656022 -87.688750258
41.707058659 -87.631812202
41.884845855 -87.624472307
41.7264982 -87.629816725
41.789249748 -87.621855909
41.90028343 -87.687977308
41.879336984 -87.758283895
41.894544296 -87.622745318
41.950872221 -87.738076873
41.95885623 -87.653289775
41.786070334 -87.632770209
41.883500187 -87.627876698
41.975729638 -87.710219444
41.799490416 -87.617719417
41.685355291 -87.619582342
41.913357363 -87.642302764
41.929494816 -87.683916158
41.813218898 -87.666321536
41.850008155 -87.636216847
41.915187259 -87.775425225
41.824675709 -87.617013434
41.800464977 -87.723370404
41.701068834 -87.622158674
41.936884881 -87.66476981
41.806849873 -87.743131225
41.736991249 -87.580268606
41.685226244 -87.630705836
41.895964779 -87.734734038
41.720422548 -87.538912969
41.897159521 -87.657750025
41.736491541 -87.615385513
41.864298297 -87.728336926
41.699930742 -87.619190495
41.927880591 -87.648848932
41.870013763 -87.726102154
41.776105184 -87.57934927
41.747299263 -87.561308941
41.765816193 -87.60476944
41.770167887 -87.681379646
41.732791348 -87.579262526
41.947731933 -87.660399711
41.764282727 -87.581016205
41.882394062 -87.627844798
41.757221911 -87.645420683
41.908226034 -87.674106235
41.772026655 -87.621866642
41.949729511 -87.643259182
41.907153315 -87.639680572
41.892265388 -87.745864088
41.772392903 -87.650104977
41.908849952 -87.646645976
41.754691074 -87.557038686
41.844045612 -87.631829836
41.883918427 -87.684374231
41.9977367 -87.68957615
41.768043233 -87.618538224
41.876984031 -87.733912437
41.757165184 -87.567073135
41.883725628 -87.689612881
41.67140441 -87.651441139
41.885182294 -87.642757034
41.885731702 -87.763915133
41.743535514 -87.570976452
41.88363012 -87.73434608
41.808332454 -87.691076137
41.886676678 -87.738125977
41.876748723 -87.747878888
41.758539527 -87.585734355
41.95909279 -87.730503729
41.897023011 -87.770338208
41.898869629 -87.684476322
41.821168369 -87.615229174
41.692833841 -87.60431945
41.933661331 -87.661165067
41.807102698 -87.739471984
41.789705338 -87.668120125
41.960819799 -87.739098346
41.880117166 -87.669882225
41.749722354 -87.646442572
41.86379175 -87.72388124
41.671903369 -87.641710641
41.807101267 -87.586402447
41.892450642 -87.719888327
41.890030224 -87.630357348
41.903282236 -87.671471823
41.762470972 -87.580099035
41.741052392 -87.634043876
41.697244989 -87.712427984
41.760606622 -87.651571506
41.952685022 -87.653840644
42.019806079 -87.664726236
41.985188228 -87.777988711
41.909415629 -87.762481332
41.793924612 -87.673580917
41.810029783 -87.684482303
41.751821289 -87.559590955
41.88031156 -87.699936386
41.794501214 -87.585393597
41.910250173 -87.693806472
41.788987036 -87.74147999
41.707095328 -87.628834415
41.896568854 -87.636063322
41.871851193 -87.729514059
41.872899082 -87.694439635
41.746784577 -87.602624733
41.872005323 -87.744933466
41.719292437 -87.628605976
41.680460437 -87.654171614
41.886914413 -87.61685843
41.917129411 -87.63528842
41.789624447 -87.6547587
41.792162065 -87.668696123
41.891990384 -87.611461502
41.692569761 -87.624397882
41.777558327 -87.615558249
41.782324743 -87.68860786
41.936779323 -87.764335989
41.770719754 -87.58378935
41.883475491 -87.627876969
41.934847455 -87.722165132
41.680418426 -87.662437948
41.744369317 -87.665719117
41.932084664 -87.644706283
41.76320717 -87.656034111
41.713305705 -87.63693415
41.905867715 -87.756517666
41.743712371 -87.620764889
41.755381522 -87.564627832
41.937718623 -87.640613767
41.690462093 -87.605949869
41.803143229 -87.608120778
41.80860717 -87.633350017
41.76340634 -87.563472747
41.736166377 -87.569634698
41.7467429 -87.661440066
41.987378858 -87.716333137
41.749757156 -87.665850192
41.876448556 -87.630737539
41.777103108 -87.660503676
42.012015969 -87.702156485
41.792982898 -87.617146396
41.900623783 -87.658393064
41.910704365 -87.632452419
41.778588251 -87.66907461
41.798977284 -87.670796839
41.747972171 -87.641525083
41.882389156 -87.624374606
41.880369243 -87.710988864
41.759333204 -87.633306659
41.923547234 -87.653892679
41.684114564 -87.625303429
41.937678194 -87.6844212
41.644609763 -87.613380728
41.965249777 -87.668201786
41.831869307 -87.685072708
41.806428557 -87.653976203
42.022062685 -87.67484904
41.965191388 -87.715712591
41.820982288 -87.601400234
41.861989508 -87.709199438
41.783174011 -87.61569728
41.747669172 -87.662155985
41.73088212 -87.582739603
41.677588501 -87.658133244
41.920776406 -87.679080842
41.870735611 -87.724050264
41.799742051 -87.619348653
41.725961123 -87.587306396
41.909636288 -87.745300725
41.881770084 -87.635309866
41.742453478 -87.665665679
41.90352381 -87.66674162
41.838215324 -87.633387079
41.783453178 -87.702045543
41.74276404 -87.685885484
41.733343077 -87.545736801
41.759222548 -87.634513709
41.748781301 -87.612437852
41.866438916 -87.70234588
41.80171934 -87.630703621
41.88534469 -87.710000447
41.899989717 -87.625105604
41.75097171 -87.682871235
41.927837574 -87.647618325
41.900964384 -87.770468886
41.892669773 -87.753073795
41.775981658 -87.653674373
41.89866338 -87.746628239
41.763926082 -87.680673091
41.756505504 -87.557511599
41.763637571 -87.595791777
41.900039997 -87.72378279
41.863567228 -87.624068617
41.924823832 -87.775749165
41.93991842 -87.653288878
41.697120342 -87.619598738
41.786651593 -87.620637942
41.792830907 -87.594874128
41.872628006 -87.718686345
41.96274023 -87.655770781
41.818024121 -87.609218554
41.752136604 -87.666345941
41.77906598 -87.696743074
41.780667753 -87.711612875
41.798962813 -87.771035964
41.744376636 -87.6547883
41.967699921 -87.659656418
41.687801737 -87.642236002
41.708606607 -87.6101438
41.751717281 -87.567002336
41.877361575 -87.70194469
41.759257249 -87.623165907
41.873219626 -87.675868666
41.79198564 -87.643882981
41.750817051 -87.632310775
41.946762987 -87.686133952
41.904976105 -87.728827339
41.651852341 -87.545628905
41.79162912 -87.653593442
41.941776585 -87.651493806
41.756264128 -87.585676468
41.9028187 -87.70824361
41.820528474 -87.68724157
41.886511115 -87.618196037
41.774497604 -87.592939826
41.855146289 -87.620711247
41.800202389 -87.690317463
41.750141112 -87.633073052
41.790533545 -87.619117155
41.996452554 -87.712011227
41.766161865 -87.562692028
41.772814187 -87.693234244
41.87862256 -87.72559838
41.753140326 -87.557006065
41.873935958 -87.755483038
41.89210295 -87.755495617
41.809318661 -87.620526134
41.688280291 -87.641041003
41.72852756 -87.662150113
41.843014625 -87.625260849
41.90982859 -87.677447594
41.758547864 -87.555976962
41.979314296 -87.767598496
41.874959277 -87.680161526
41.865713975 -87.7251516
41.707112161 -87.627552452
41.956828595 -87.645973056
41.888438092 -87.624476665
41.883219258 -87.626818503
41.893285756 -87.656538409
41.900993132 -87.627621735
41.782397506 -87.687393515
41.942266661 -87.763559423
41.993469089 -87.802695844
41.707160552 -87.623823775
41.759874722 -87.563925466
41.91320867 -87.75164599
41.87671722 -87.750317319
41.875626261 -87.629105237
41.986710448 -87.777820996
41.918578314 -87.636183854
41.76460796 -87.68867896
41.717381967 -87.615239286
41.915019425 -87.633988741
41.908345574 -87.668660568
41.895858802 -87.722426811
41.887979548 -87.773465835
41.932027273 -87.70805773
41.910764867 -87.658120918
41.900920073 -87.753292969
41.766246905 -87.624932618
41.77526924 -87.648314721
41.909636288 -87.745300725
41.760080391 -87.558186925
41.911203919 -87.694568465
41.884965896 -87.627923004
41.870825474 -87.716720969
41.934406847 -87.687298972
41.876645737 -87.635171022
41.747131364 -87.607545884
41.874345413 -87.726332865
41.909440599 -87.760331948
41.970514812 -87.83665128
41.82693369 -87.623999811
41.882142354 -87.772304964
41.887739656 -87.763746728
41.877565688 -87.684893829
41.976762981 -87.900983721
42.016950678 -87.681650817
41.754839516 -87.669623734
41.950175052 -87.715710526
41.899059766 -87.721617589
41.876044636 -87.736381363
41.984622486 -87.836582104
41.986107062 -87.658094107
41.750366286 -87.66300375
41.971154619 -87.706108665
41.745641684 -87.55763874
41.892816145 -87.624193198
41.663269589 -87.634439644
41.791908395 -87.651170238
41.909614875 -87.747016581
41.894233125 -87.708959073
