Latitude	Longitude
41.86559259	-87.67621482
41.65379275	-87.59740852
41.69283384	-87.60431945
41.68861036	-87.60953671
41.80126328	-87.61772903
41.75856041	-87.562728
41.80192153	-87.62742623
41.91758085	-87.75339564
41.96557591	-87.72192668
41.76121859	-87.57619182
41.88065283	-87.731763
41.96097113	-87.72606291
41.66429451	-87.64145537
41.87268882	-87.72651009
41.89817553	-87.63627725
42.00009095	-87.70337804
41.9535641	-87.77801701
41.96059078	-87.75825248
41.90126383	-87.75452409
41.86816541	-87.62743954
41.89598429	-87.71510899
41.89233127	-87.72530684
41.87822214	-87.62728848
41.93956428	-87.76038579
42.0024784	-87.66929687
41.88033426	-87.75795915
41.89508047	-87.76540045
41.80200707	-87.62216225
41.83705494	-87.66572914
41.76231447	-87.59787786
41.70416528	-87.67671488
41.89918411	-87.70751504
41.8824572	-87.62784778
41.89956629	-87.75203429
41.88321029	-87.73857679
41.79293214	-87.67183822
41.76510232	-87.62489756
41.89337738	-87.62175924
41.89818998	-87.71396374
41.91067631	-87.64918707
41.93349041	-87.65729325
41.71616488	-87.57321561
41.92281742	-87.64242117
41.7807214	-87.64086521
41.73972702	-87.60491052
41.80171934	-87.63070362
41.88239406	-87.6278448
41.93857251	-87.76680098
41.90981567	-87.63162452
41.94083273	-87.67839068
